ERROR 2025-11-17 07:12:21,872 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:12:30,812 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:12:39,898 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:12:48,858 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:12:57,818 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:13:10,767 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:13:19,718 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:13:28,667 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:13:41,620 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:13:50,603 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:13:59,548 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:14:12,504 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:14:21,475 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:14:30,418 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:14:39,506 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:14:48,449 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:14:57,395 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:15:06,497 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:15:15,481 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:15:24,417 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:15:33,438 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:15:42,444 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:15:51,410 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:16:00,402 user_events Connection error: [Errno -2] Name or service not known
ERROR 2025-11-17 07:16:09,459 user_events Connection error: [Errno -2] Name or service not known
